,Turn,Text,True,Pred
0,0,Hello,0,0
1,0,Hi there. I had a few questions about the phone you are selling.,0,0
2,0,Sure,0,0
3,0,How old is the phone? I don`t see it stated anywhere.,2,1
4,0,2 years old,0,0
5,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",4,0
6,0,Slightly,0,0
7,0,The highest I can offer is around 100 dollars. Is this too low?,6,3
8,0,Yes,3,0
9,0,What would be your lowest point?,0,3
10,0,Have the headphones been used?,1,1
11,0,"No, they are new and very nice.",0,0
12,0,Can I use them with my gaming console?,1,1
13,0,"Yes, you can.",0,0
14,0,Any of them?,1,1
15,0,Yes.,0,0
16,0,Do you have one in a different color?,1,1
17,0,"Yes, what color are you looking for?",0,0
18,0,Blue,0,0
19,0,I have that color.,0,0
20,0,Which color is this one? 125 a bit pricey,1,3
21,0,This one is white.,0,0
22,0,"I guess it's a deal, lets see what happens if I accept",0,0
23,0,Hello how are you?,0,0
24,0,"good, how about you?",0,0
25,0,I am fine thanks.,0,0
26,0,are you interested in the case?,0,0
27,0,Yes is it brand new?,1,1
28,0,absolutely and still in the package,0,0
29,0,Are these good if you drop the phone?,1,0
30,0,yes,0,0
31,0,Can you still fit it in your pocket with the case on?,1,0
32,0,yes,0,0
33,0,Is the price firm?,0,3
34,0,pretty much.  how much would you be willing to pay?,0,3
35,0,I would like to pay $22.,3,3
36,0,I'll accept 23.50,0,3
37,0,Ok I can do that.,0,0
38,0,we've got a deal!,0,0
39,0,i am interested in your bike,0,0
40,0,Great it is for sale,0,0
41,0,will you be delivering it?,1,0
42,0,I sure will,0,0
43,0,and how much are you selling it for?,0,1
44,0,600,3,3
45,0,that is too high cant you come lower,0,3
46,0,My final offer is 550.,6,6
47,0,how good is the condition?,1,1
48,0,Mint and it looks like new; aircraft alluminum and size 56.,0,0
49,0,how about for 400?,3,3
50,0,Sorry but my wife won't let me go below $550.,3,3
51,0,and that is too high for me,6,3
52,0,So you're looking at this sweet bike...,0,0
53,0,Hi I am interested in the bike and would like to offer $420.,3,0
54,0,"I'm really hesitant to part with it for less than 450, though 420 is definitely a good number.",3,3
55,0,"It is a nice bike, but I am not a fan of the Benny Bars, so I would have to spend some money to change them out.",4,0
56,0,"I understand, though those Benny bars are pretty appealing to a lot of people.",0,0
57,0,Let's meet in the middle. How about $435?,3,3
58,0,440 and you got a deal.,6,6
59,0,I like to get a little bargain. What about $438?,3,3
60,0,"All right, $438 for a happy customer. Nice doing business!",0,0
61,0,Deal!!!,0,0
62,0,hi,0,0
63,0,Let's make a deal,0,0
64,0,this desk is very well maintained and like new,0,0
65,0,"Great. I can pick it up in the next hour if we can agree on a price. 140 is too steep, though",5,5
66,0,yes if you pick it up i can go for $125,5,5
67,0,Not bad. I'm looking at a few but this is a little small for my needs. Price will determine if I buy,4,0
68,0,i can make you a final offer of $120,6,3
69,0,100 in cash right now,5,0
70,0,$115 and you pick up and you gotta a deal,5,5
71,0,"No can do. Looks great, best of luck to you",6,0
72,0,Hello.,0,0
73,0,Hello how are you,0,0
74,0,"Well, I'm interested in this track bike.",0,0
75,0,I'm asking $600,0,0
76,0,"Well, are there any problems with the bike?",2,2
77,0,"Nothing at all, it's a great track bike and critical bike",0,0
78,0,"So, why are you interested in selling the bicycle?",2,0
79,0,I am needin some extra money and I just bought a new bike last weekend,0,0
80,0,"Well, I suppose I could take the bike off your hands for $375.",3,0
81,0,"I am needing at least 500 for it, it's basically brand new",4,0
82,0,"I could go up to $450, and I'd be willing to come pick it up tonight.",5,5
83,0,"Ok that will work out, it's sold to you. What time would u like to pick it up",1,0
84,0,"Well, it's 1:30 a.m. I guess I could be there any time, so wait up.",0,0
85,0,Hey so I'm interested in the TV cart. Is there anything wrong?,2,2
86,0,no works great,0,0
87,0,"Ok, but there's no picture. I'm iffy about the condition, and it's used. $300 is too high, $100 is more in the ballpark for me.",4,4
88,0,$150 and we got a deal,6,6
89,0,Are there any other items you could throw in?,5,5
90,0,all the items are listed,0,0
91,0,"Well I need you to deliver then, and meet me in the middle at $125.",5,5
92,0,$135 is the lowest i can go,6,6
93,0,$130 please I only have $130 in my budget this month.,7,7
94,0,ok $130,0,0
95,0,thanks,0,0
96,0,Hello I am interested in this chair. I have a couple of questions first. Did you make this chair yourself?,1,0
97,0,"Yes I did, with the finest denim in all of the land",0,0
98,0,"Was it new denim, or were they someone's funky old worn out jeans?",2,0
99,0,Someone's LOVELY jeans.  Recycling helps mother earth!,0,0
100,0,Well I do like to help mother earth... do you have any matching pieces like end tables or night stands?,1,0
101,0,"ALas, I do not.  It was a one of a kind.  My muse has since moved on to other projects.",0,0
102,0,"Alright, would you be willing to negotiate the price at all, I could offer about 60 for this chair...",3,3
103,0,$60 Dollary-Doo's for my sweat and toil?  You wound me.  $82 at least.,4,3
104,0,Well.. 82 is still a bit too high for me... If I pick it up in person could you consider 75?,5,5
105,0,I mean I guess.  It's like my first born child...,0,0
106,0,Hi!,0,0
107,0,Hi how are you this morning. I would really like to convert my bicycle into a moped.,0,0
108,0,"doing well, thanks! This is a great kit for you then, it's a blast having this thing hooked up, no more peddling up hills!",0,0
