,Turn,Text,True,Pred,Don_true,Don_pred
0,0,How long have you been using the phone?,5,1,0,0.276708722114563
1,0,I've had it for about 9 months,0,0,0,0.6111460328102112
2,0,I heard that the iphone 6 had a lot of software bugs. When is apple going to fix them?,1,1,0,0.4134550094604492
3,0,"I don't know anything at all about that. I've never had a problem with this phone, just wanted to upgrade to a 6s",0,0,0,0.36166298389434814
4,0,"Okay, what about the battery life?",5,5,0,0.3789033889770508
5,0,It works just like as new. No problem waiting until the end of the day to charge it up.,0,0,0,0.41418153047561646
6,0,Alright. I am willing to pay $125 for it to buy it now.,4,4,0,0.35945436358451843
7,0,"I can't go that low. I was looking for $320, but I'd be willing to lower my price to $280",4,4,0,0.3624366223812103
8,0,I am not going to go that high for an out of date phone. If you went me to pay anymore you will have to throw in something else with the deal. Apple is terrible with supporting older products.,2,2,0,0.796123743057251
9,0,"How about this, I'll drop the price to $200. It's worth that much and uh, I can throw in a backup charger.",0,6,0,0.4512080252170563
10,0,I'll take it with the backup charger for $185.,4,6,0,0.36802321672439575
11,0,I can't do it.,3,3,0,0.43723759055137634
12,0,I am not willing to pay anymore. Take it or leave it.,3,3,0,0.3647799789905548
13,0,You're going to miss out on a great phone for the price. I could go $190 but that's as low as I'll go.,3,3,0,0.3796328008174896
14,0,Alright. I will take it for $190.,0,0,0,0.7950143218040466
15,0,deal.,0,0,0,0.8575171232223511
16,0,I'm interested in your hutch.  Will you take $200?,0,4,1,0.720427930355072
17,0,"no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still",3,2,1,0.8481305241584778
18,0,"$2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon.",1,2,1,0.8638586401939392
19,0,"it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle",6,6,1,0.6936646103858948
20,0,I will take it for $300 if you throw in that printer too.,6,6,1,0.8401442766189575
21,0,"ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer.",4,3,1,0.862910270690918
22,0,"Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair>",3,6,1,0.8582391738891602
23,0,"sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer",3,3,1,0.858735203742981
24,0,"$375, printer, hutch and you help loading?",6,6,1,0.8651009798049927
25,0,"fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it",7,0,1,0.8655733466148376
26,0,Pleasure doing business with you.  Give your kids my regards.,0,0,1,0.8658908009529114
27,0,200 is a good price for this item,0,0,1,0.7288371324539185
28,0,"It is too high for me, I was thinking more around 100",7,4,1,0.8478152751922607
29,0,i just upgraded it so how about 165,4,2,1,0.8625397682189941
30,0,how old is the item?,5,1,1,0.49216073751449585
31,0,i ot it a year ago,0,0,1,0.8147071599960327
32,0,The price seems too high for  a used one. how about 120?,2,2,1,0.8585668802261353
33,0,140 and I will bring it to you right now,6,6,1,0.491167813539505
34,0,Do you have any speakers to throw in with it?,5,6,1,0.8145572543144226
35,0,yes i do,0,0,1,0.8598821759223938
36,0,oktereceiveradpeakerfor140,0,0,1,0.46870729327201843
37,0,I'm really intersted in the chairs. Are there any scratches?,1,1,1,0.27114322781562805
38,0,There are a few minor scratches on some of the chairs,0,0,1,0.32790255546569824
39,0,"How about the cushions, any holes?",1,1,1,0.3405313193798065
40,0,No.  We reupholstered them after we purchased the chairs last fall,0,0,1,0.35056424140930176
41,0,Cool. I was hoping you would be willing to let them go for a little below your listed price.,0,4,1,0.6377532482147217
42,0,"I'm willing to negotiate, but I'm not going to accept an unreasonable offer.  Even with the scratches they're still nice chairs!",2,2,1,0.4104158580303192
43,0,"I believe you. I want to make sure it's a fair price. You want about 26 per chair, I was hoping to get them for about 18 per chair.",4,4,1,0.6514632701873779
44,0,Would you be willing to split the difference at 22 per chair?,4,4,1,0.7040220499038696
45,0,I was hoping to pay less because I don't have a truck so I will need to pay a friend to pick them up.,6,2,1,0.4265410900115967
46,0,"Well, I could deliver them a little bit further than Hayward, if that helps",6,6,1,0.36044004559516907
47,0,That acutally would help. Would you be willing to do that for the $22 per chair?,0,4,1,0.37368860840797424
48,0,Yes,0,0,1,0.7903403639793396
49,0,"Great, I'm just a little outside of hayward in union city so it's not too far. Would tomorrow be good. I can work around your schedule.",0,0,1,0.44777730107307434
50,0,"I'm free all day tomorrow, so that would work for me!",0,0,1,0.3654807507991791
51,0,"Great, thanks. I'm going to input the offer now at $132.",0,0,1,0.37103646993637085
52,0,Sounds good -- is that going to show up on my screen too?  Based on the instructions it looks like it should,0,0,1,0.6424693465232849
53,0,"Hi there, how are you today?",0,0,0,0.638382077217102
54,0,What are the dimensions?,5,5,0,0.41056880354881287
55,0,"40 by 60 inches . fairly large, in good condition.",0,0,0,0.7488945722579956
56,0,Does the chair have rollers?,5,5,0,0.46576082706451416
57,0,"yes, it does/",0,0,0,0.8090831637382507
58,0,It's bigger than I had wanted but might be able to make it work. Would you take $30?,0,4,0,0.4524160921573639
59,0,I would be wiling to do $40 with delivery included.,6,6,0,0.39153969287872314
60,0,I can pick it up but thanks for offering. Best I could do is $32,6,6,0,0.37882789969444275
61,0,$35and you have adeal.,3,6,0,0.3773546516895294
62,0,"okay, $35",0,0,0,0.7950679063796997
63,0,"Hi, are you interested?",0,0,0,0.2690134346485138
64,0,Hi. I'm very interested in your add. Can you tell me a bit more about this bed frame? How long ago have you purchased it?,5,5,0,0.32927411794662476
65,0,"Yes, got it a year ago.",0,0,0,0.33841630816459656
66,0,What are the dimensions of it?,5,5,0,0.34046614170074463
67,0,"I don't know the exact dimensions, I know it is a full or twin. It is a really great natural wood solid built frame.",0,0,0,0.3409266173839569
68,0,Do you still have the mattress that went with it?,5,5,0,0.341030091047287
69,0,No I already had sold that off.,0,0,0,0.3410533368587494
70,0,"Oh I see. I was willing to go a bit higher if that was available. This way I can only go up to about 110 dollars. Really sorry, I'm on a tight budget. Any wiggle room?",7,7,0,0.3453754186630249
71,0,I could do 125?,0,4,0,0.458404004573822
72,0,That's a fair offer. But maybe if I pick it up myself you can go down to 114?,6,6,0,0.37236616015434265
73,0,alright,0,0,0,0.7893750071525574
74,0,Hello.,0,0,0,0.6870108246803284
75,0,"Yes, hi. what is the condition of car?",5,5,0,0.4223862588405609
76,0,"It's a salvage from a rear end accident, but everything has been fixed.",0,0,0,0.47178101539611816
77,0,IS AC working allright?,5,5,0,0.37093332409858704
78,0,"Yes, and it comes with certificates for smog, brakes, and lamps, as well as DMV VIN verification.",0,0,0,0.4798232614994049
79,0,"It is salvage, so ican not resale it. Do you have papers and title?",1,5,0,0.37281185388565063
80,0,"Yes, all the paperwork is in order.",0,0,0,0.4382367730140686
81,0,how much mileage does it give per gallon?,5,5,0,0.3631404936313629
82,0,"it's about 21 avg (19 city 24 highway) and sorry for the delay, had to check.",0,0,0,0.41865095496177673
83,0,"I would like to buy it for 12844, what do you think?",4,4,0,0.3590880334377289
84,0,"I don't think that's doable for me, that's nearly 25% off the list price. I can't go below 14,500.",2,2,0,0.34504130482673645
85,0,hi,0,0,1,0.693484902381897
86,0,hi,0,0,1,0.8131558895111084
87,0,can you pay the 125,1,4,1,0.8573035597801208
88,0,No I can't. Would you be willing to go lower?,7,4,1,0.4669504463672638
89,0,this  is very cool and rare 1970's  i would accept $115,0,3,1,0.3722107708454132
90,0,what condition is it in?,5,5,1,0.3503539264202118
91,0,ment condition,0,0,1,0.790885329246521
92,0,could you give to me for 100 if I offer to pick it up?,6,6,1,0.8495197892189026
93,0,"yes that's works for me, what time and when",0,0,1,0.8568627834320068
94,0,Whatever works for you,0,0,1,0.8600921630859375
95,0,today t 1:30,0,0,1,0.4677933156490326
96,0,ok great,0,0,1,0.6304314732551575
97,0,thanks,0,0,1,0.5616897344589233
98,0,thank you too,0,0,1,0.47131073474884033
99,0,Hi,0,0,0,0.26896294951438904
100,0,Hello! Are you interested in the couches?,0,0,0,0.3249911963939667
101,0,"Yes I am, just a few questions, is this a non smoking home?",5,5,0,0.36047878861427307
102,0,"Yes, it is. I bought these brand new and have made sure to keep them in a smoke-free environment.",0,0,0,0.6480236053466797
103,0,And how long did you have them?,5,5,0,0.43776094913482666
104,0,I've had them for just a few years. I can assure you completely that they are in great condition.,0,0,0,0.7729662656784058
105,0,"well The price is s lightly high for used couches, would you come down to $240 if I ALSO PICKED THEM UP?",6,6,0,0.6418102979660034
106,0,I don't think I can go that low. I can give you both for $300 and I'll deliver them myself for no extra charge. Sound fair?,6,6,0,0.43623223900794983
107,0,$275??,4,4,0,0.561313807964325
108,0,"Actually, that's fine. Again, I'll deliver them to you myself. Don't worry about picking them up.",0,6,0,0.8191863298416138
109,0,Hello.,0,0,0,0.26894164085388184
110,0,"Hello, I have just viewed your advertisement for the white BMW Z3",0,0,0,0.3249627649784088
111,0,"Great, any questions?",0,0,0,0.3373700678348541
112,0,"Yes, how many miles are on it?",5,5,0,0.34014931321144104
113,0,15000,0,0,0,0.34077340364456177
114,0,Have you done maintenance during the 15000 mile period?,1,5,0,0.34116852283477783
115,0,"yes, it is in great conditon.",0,0,0,0.34100237488746643
116,0,That's great to hear! Do you have the maintenance records?,5,5,0,0.34148985147476196
117,0,"Yes , of curse, and I also have a warranty on it  for you , good for 5 more years.",0,0,0,0.3410746157169342
118,0,A dealer warranty?,5,5,0,0.34098127484321594
119,0,manufacturer.,0,0,0,0.340960294008255
120,0,Nice. What is the least that you would be willing to take on the car?,0,4,0,0.352802574634552
121,0,"$4,200.00",4,4,0,0.3438517451286316
122,0,That price is high for me right now. If I were to come view the car this weekend and offer $2000 cash would you be open to sell the car?,7,6,0,0.6101295351982117
123,0,I am open to deals btu that is less than half of asking.. you need to come up some.,4,4,0,0.4037676751613617
124,0,I could possibly do 2250 but that is a strain for me,7,4,0,0.7968960404396057
125,0,"I really do want to get rid of it, but I think that is just way to low for me.",4,4,0,0.8532264828681946
126,0,It is a nice car and it would be going towards a good home. You could have it gone by this weekend and it would be off your hands. Would you take 2450?,6,6,0,0.47533512115478516
127,0,I need at least 3200.,3,3,0,0.3945935368537903
128,0,"I can pay you in cash, no hassle for you once you accept my offer",6,6,0,0.7954070568084717
129,0,is yoru offer 3200 or higher?,0,0,0,0.47303318977355957
130,0,I could possibly come up with $2750 by the weekend and we may be able to figure out what I can do for the difference,4,4,0,0.37585753202438354
131,0,"I just don't think we are going to agree here, too big a loss of me below 3200 even though I was wanting to get rid of it quickly.",3,4,0,0.3493703305721283
132,0,What if you got to keep some of the parts? Such as the bumper bra; I really wouldn't need it and it probably cost you a good chunk of money,6,6,0,0.36493489146232605
133,0,"alright , I KEEP THOSE PARTS AND YOU GET IT FOR 3000",3,0,0,0.7965592741966248
134,0,Hi! I am very interested in buying this Headphone set!,0,0,1,0.3420235514640808
135,0,Great.  Are there any questions I can answer for you?,0,0,1,0.7737337946891785
136,0,What is great about this product compared to the other ones on the market?,5,5,1,0.6561276912689209
137,0,"This product is new, fits both iPhone and/or Samsung.  It is very attractive and it has it's own carrying hard case for storage.",0,0,1,0.4726252853870392
138,0,Ok awesome. I would like to purchase the item and I am willing to pick it up. What is the best deal that you can offer me?,6,6,1,0.58539879322052
139,0,I am asking $15 for the headphone set.,4,0,1,0.7754676938056946
140,0,I understand that but I am willing to do all the labor so you do not have to pay for gas or shipping. Would you be willing to go down to 9 dollars?,2,6,1,0.6565187573432922
141,0,Nine is a little low.  I would go $12.,4,3,1,0.6292194724082947
142,0,$11 and you have a deal!,4,3,1,0.825136125087738
143,0,Okay -- great!  $11 it is.  Thank you.,0,0,1,0.8581968545913696
144,0,hi,0,0,0,0.6989560723304749
145,0,hello. Are you interested in the table for sale?,0,0,0,0.5238652229309082
146,0,"Yes, can you tell me , is your home smoke free?",5,5,0,0.3832707107067108
147,0,"yes it is. I do , however have pets.",0,0,0,0.7930675148963928
148,0,"they never peed on it or anything, right?",1,1,0,0.4485226571559906
149,0,No they have not. There is a small broken corner but you cannot tell when it is against the wall,0,0,0,0.7998034954071045
150,0,Do you think you would be willing to bring down the price since it is somewhat damaged?,2,2,0,0.8565132021903992
151,0,"Maybe a little, however It is fairly new so I would like to get close to what i paid for",2,4,0,0.4641905426979065
152,0,"well a used product can rarely fetch the price paid, I was thinking  $59 and I can come pick it up myself.",6,6,0,0.3692668676376343
153,0,I would consider $75,4,0,0,0.5996251106262207
154,0,I feel that is too much since it is damaged already and have to try to repaint and repair it.,2,1,0,0.4012230634689331
155,0,The paint is very fresh and does not need a new coat. The price I paid last year was $300 so you are getting it for less than 1/3,2,2,0,0.3546237051486969
156,0,"I need to paint it if there is a chip, either I can do 60 cash and come get it, or I will have to pass.",2,6,0,0.34519144892692566
157,0,Okay we can do that.,0,0,0,0.7901042699813843
158,0,"Hello, are you interested in this bike still?",0,0,1,0.649176299571991
159,0,Good morning.,0,0,1,0.7752803564071655
