,Turn,Speaker,Text,True,Pred
0,0,0,I'm very interested in renting this location.,Not-a-strategy,Self Assertion-Empowerment
1,0,1,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",Not-a-strategy,Self Assertion-Empowerment
2,1,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",Information Inquiry-Contesting,Self Assertion-Empowerment
3,1,1,There is easy access to FWY 880 and Dumbarton Bridge -,Not-a-strategy,Self Assertion-Empowerment
4,2,0,I heard a terrorist attack happened a few blocks away from there.,Source Derogation-Contesting,Self Assertion-Empowerment
5,2,1,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",Not-a-strategy,Self Assertion-Empowerment
6,3,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",Hesitance-Hesitance,Self Assertion-Empowerment
7,3,1,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,Counter Argumentation-Contesting,Self Assertion-Empowerment
8,4,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",Hesitance-Hesitance,Self Assertion-Empowerment
9,4,1,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",Personal Choice-Empowerment,Self Assertion-Empowerment
10,5,0,Great! Make that offer :),Not-a-strategy,Self Assertion-Empowerment
11,0,0,Hi there I am interested.,Not-a-strategy,Self Assertion-Empowerment
12,0,1,Sure thing. Its a great location and a smoke free apartment. What would you like to know?,Not-a-strategy,Self Assertion-Empowerment
13,1,0,I am wondering how much the coin laundry is per load?,Information Inquiry-Contesting,Self Assertion-Empowerment
14,1,1,Its a dollar and 25 cents,Not-a-strategy,Self Assertion-Empowerment
15,2,0,I am wondering if this is a furnished or unfurnished place?,Information Inquiry-Contesting,Self Assertion-Empowerment
16,2,1,Its furnished,Not-a-strategy,Self Assertion-Empowerment
17,3,0,That is great! I am on a budget and was hoping to pay $1100.,Hesitance-Hesitance,Self Assertion-Empowerment
18,3,1,That's too low for the price. Its a great located place and I can accept nothing lower than $1700,Counter Argumentation-Contesting,Self Assertion-Empowerment
19,4,0,"Alright , I suppose since it is furnished I can now afford that price.",Not-a-strategy,Self Assertion-Empowerment
20,4,1,That's great! Thank you!,Not-a-strategy,Self Assertion-Empowerment
21,0,0,Hey what condition is the alarm clock dock in?,Information Inquiry-Contesting,Self Assertion-Empowerment
22,0,1,Like new,Not-a-strategy,Self Assertion-Empowerment
23,1,0,Sounds pretty good. Will it work with any iPhone? Even older ones?,Information Inquiry-Contesting,Self Assertion-Empowerment
24,1,1,"Worls with iphone  and ipods, fits iphone 5 or less",Not-a-strategy,Self Assertion-Empowerment
25,2,0,Does it also work for iPhone 6 and 7?,Information Inquiry-Contesting,Self Assertion-Empowerment
