,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,I'm very interested in renting this location.,Not-a-strategy,Not-a-strategy,0,0.33921489119529724
1,0,1,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",Not-a-strategy,Not-a-strategy,0,0.3417639434337616
2,1,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",Information Inquiry-Contesting,Source Derogation-Contesting,0,0.3592487871646881
3,1,1,There is easy access to FWY 880 and Dumbarton Bridge -,Not-a-strategy,Not-a-strategy,0,0.34542563557624817
4,2,0,I heard a terrorist attack happened a few blocks away from there.,Source Derogation-Contesting,Not-a-strategy,0,0.3600921034812927
5,2,1,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",Not-a-strategy,Not-a-strategy,0,0.34562161564826965
6,3,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",Hesitance-Hesitance,Hesitance-Hesitance,0,0.3601372539997101
7,3,1,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,Counter Argumentation-Contesting,Hesitance-Hesitance,0,0.34800732135772705
8,4,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",Hesitance-Hesitance,Counter Argumentation-Contesting,0,0.7177412509918213
9,4,1,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.44951048493385315
10,5,0,Great! Make that offer :),Not-a-strategy,Not-a-strategy,0,0.7378430962562561
11,0,0,Hi there I am interested.,Not-a-strategy,Not-a-strategy,1,0.2845032513141632
12,0,1,Sure thing. Its a great location and a smoke free apartment. What would you like to know?,Not-a-strategy,Not-a-strategy,1,0.3336648643016815
13,1,0,I am wondering how much the coin laundry is per load?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.3394032120704651
14,1,1,Its a dollar and 25 cents,Not-a-strategy,Not-a-strategy,1,0.5633999109268188
15,2,0,I am wondering if this is a furnished or unfurnished place?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.392642080783844
16,2,1,Its furnished,Not-a-strategy,Not-a-strategy,1,0.3889131546020508
17,3,0,That is great! I am on a budget and was hoping to pay $1100.,Hesitance-Hesitance,Self Pity-Empowement,1,0.3518841862678528
18,3,1,That's too low for the price. Its a great located place and I can accept nothing lower than $1700,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.343500018119812
