,Turn,Text,True,Pred
0,1,Hi there how are you?,0,0
1,2,"I am doing fine, thanks for asking.",0,0
2,3,You sure can,0,0
3,4,I don't have any children but there are many children in my family.,0,0
4,5,"I do have a big family, I enjoy it at times, other times I don't",0,3
5,7,Yes I do.,0,0
6,9,No I haven't.,0,0
7,9,Could you QUICKLY tell me about it,4,0
8,10,Okay that sounds nice and an important service,0,0
9,13,I would like to help in the future when I am more financially stable.,6,1
10,14,I am sure but I just am not able at this time,6,1
11,0,"Hello, yes I have but I am not sure what the charity works towards",4,0
12,0,Ah ok very nice.,0,0
13,0,It sounds like a good charity.,0,0
14,0,Are you thinking of donating to it?,2,2
15,0,"Yes, I definitely understand you.",0,0
16,0,It is very difficult to see on the news what is happening in Syria and the violence and terrorism that is going on in the country,2,0
17,0,Yes that is very true.,0,0
18,0,I usually donate $1.00 or $2.00 at restaurants or stores whenever they ask me if I would like to donate.,3,0
19,0,I think it is the least I could do.,0,0
20,0,Yes I understand.,0,0
21,0,I have been to third world countries in South America and seeing the living conditions of some people is very tough.,0,0
22,0,The poverty there is a lot higher than what we are used to seeing and it can be shocking.,0,0
23,0,Yes I know.,0,0
24,0,Any amount of money can help.,0,0
25,0,"I think that we take many things for granted such as running water, and always having food on the table.",0,0
26,0,"Yes, I would be willing to donate a small portion as well.",0,0
27,0,I think it would really help them out,0,0
28,0,"Ok, that's great.",0,0
29,0,I happy to help them.,0,0
30,0,Every month I always try to donate a little to charity,3,0
31,0,I would like to donate $.50,0,0
32,0,Yes anything I can do to help.,0,0
33,0,I hope that it makes a difference!,0,0
34,0,I don't know I haven't found anyone good ones,5,0
35,0,"No, I have never hear of it",0,0
36,0,Do they help children right here in America,4,4
37,0,That is awesome.,0,0
38,0,I am more willing to help a charity that will help right here in America,3,0
39,0,"I would like to, but I really can afford to donate anything right now.",6,1
40,0,I don't understand what you mean,0,2
41,0,"Yes, it sounds like a good charity.",0,0
42,0,"Yes, I have.",0,0
43,0,Some don't give the money out like they are suppose to.,2,5
44,0,"No, I have not hear that",0,0
45,0,How does me saying I will donate fake money make a good impression for future hits.,0,6
46,1,Hello.,0,0
