Index,User,Text,Resistance Labels,,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Hello,,,
C_e2781ecd69264b00a4cc25ee96d271c5,0,Hi there. I had a few questions about the phone you are selling.,,,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Sure,,,
C_e2781ecd69264b00a4cc25ee96d271c5,0,How old is the phone? I don`t see it stated anywhere.,Source Derogation-Contesting,,
C_e2781ecd69264b00a4cc25ee96d271c5,1,2 years old,,,
C_e2781ecd69264b00a4cc25ee96d271c5,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",Counter Argumentation-Contesting,,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Slightly,,,
C_e2781ecd69264b00a4cc25ee96d271c5,0,The highest I can offer is around 100 dollars. Is this too low?,Self Assertion-Empowerment,,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Yes,Hesitance-Hesitance,,
C_e2781ecd69264b00a4cc25ee96d271c5,0,What would be your lowest point?,,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Have the headphones been used?,Information Inquiry-Contesting,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"No, they are new and very nice.",,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Can I use them with my gaming console?,Information Inquiry-Contesting,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, you can.",,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Any of them?,Information Inquiry-Contesting,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,Yes.,,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Do you have one in a different color?,Information Inquiry-Contesting,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, what color are you looking for?",,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Blue,,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,I have that color.,,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Which color is this one? 125 a bit pricey,Information Inquiry-Contesting,,
C_b046547966ae4fb5a83bf75d4fcf3999,1,This one is white.,,,
C_b046547966ae4fb5a83bf75d4fcf3999,0,"I guess it's a deal, lets see what happens if I accept",,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I'm very interested in renting this location.,,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",Information Inquiry-Contesting,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,There is easy access to FWY 880 and Dumbarton Bridge -,,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I heard a terrorist attack happened a few blocks away from there.,Source Derogation-Contesting,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",Hesitance-Hesitance,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,Counter Argumentation-Contesting,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",Hesitance-Hesitance,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",Personal Choice-Empowerment,,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,Great! Make that offer :),,,
C_ffdbd54cb66143189eeb41d2b4947aae,0,HJi how old is the bike?,Information Inquiry-Contesting,,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"Hi there, are you interested in the bike?",,,
C_ffdbd54cb66143189eeb41d2b4947aae,0,yes where did you buy it from orginally?,Information Inquiry-Contesting,,
C_ffdbd54cb66143189eeb41d2b4947aae,1,It is just over a year. I bought it from the schwinn factory directly.,,,
C_ffdbd54cb66143189eeb41d2b4947aae,0,did you have to make any repair? are all the parts orginigal?,Source Derogation-Contesting,,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"I have newly installed rim tapes, inner tubes, derailleur cable.  all new parts. it is in good condition if that is what you are worried about.",,,
C_ffdbd54cb66143189eeb41d2b4947aae,0,who will deliever the bike?,,,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"I think we can arrange that, i will take care of either delivering it or the shipping. I am asking 240$ witht he shipping included.",Personal Choice-Empowerment,,
C_ffdbd54cb66143189eeb41d2b4947aae,0,can you do $220?,Hesitance-Hesitance,,
C_ffdbd54cb66143189eeb41d2b4947aae,1,That seems fair. Deal.,,,
C_9252e54f302448aa8eb988a6904a021f,0,Hi there I am interested.,,,
C_9252e54f302448aa8eb988a6904a021f,1,Sure thing. Its a great location and a smoke free apartment. What would you like to know?,,,
C_9252e54f302448aa8eb988a6904a021f,0,I am wondering how much the coin laundry is per load?,Information Inquiry-Contesting,,
C_9252e54f302448aa8eb988a6904a021f,1,Its a dollar and 25 cents,,,
C_9252e54f302448aa8eb988a6904a021f,0,I am wondering if this is a furnished or unfurnished place?,Information Inquiry-Contesting,,
C_9252e54f302448aa8eb988a6904a021f,1,Its furnished,,,
C_9252e54f302448aa8eb988a6904a021f,0,That is great! I am on a budget and was hoping to pay $1100.,Hesitance-Hesitance,,
C_9252e54f302448aa8eb988a6904a021f,1,That's too low for the price. Its a great located place and I can accept nothing lower than $1700,Counter Argumentation-Contesting,,
C_9252e54f302448aa8eb988a6904a021f,0,"Alright , I suppose since it is furnished I can now afford that price.",,,
C_9252e54f302448aa8eb988a6904a021f,1,That's great! Thank you!,,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,How long have you been using the phone?,Information Inquiry-Contesting,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,I've had it for about 9 months,,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,I heard that the iphone 6 had a lot of software bugs. When is apple going to fix them?,Source Derogation-Contesting,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,"I don't know anything at all about that. I've never had a problem with this phone, just wanted to upgrade to a 6s",,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,"Okay, what about the battery life?",Information Inquiry-Contesting,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,It works just like as new. No problem waiting until the end of the day to charge it up.,,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,Alright. I am willing to pay $125 for it to buy it now.,Hesitance-Hesitance,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,"I can't go that low. I was looking for $320, but I'd be willing to lower my price to $280",Hesitance-Hesitance,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,I am not going to go that high for an out of date phone. If you went me to pay anymore you will have to throw in something else with the deal. Apple is terrible with supporting older products.,Counter Argumentation-Contesting,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,"How about this, I'll drop the price to $200. It's worth that much and uh, I can throw in a backup charger.",,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,I'll take it with the backup charger for $185.,Hesitance-Hesitance,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,I can't do it.,Self Assertion-Empowerment,,
