Index,User,Text,Face acts
C_4566b2e6938a4a6a8e714e799d780e71,0,"Hi,I am interested in your board!",
C_4566b2e6938a4a6a8e714e799d780e71,1,"Hi, do you have any questions?",
C_4566b2e6938a4a6a8e714e799d780e71,0,Do you know what wood it is made out of?,
C_4566b2e6938a4a6a8e714e799d780e71,1,I do not know specifically but the brand is a gravity skateboard.,
C_4566b2e6938a4a6a8e714e799d780e71,0,"The wheels seem nice on it, but they could be a beter quality. Would you accept 100 for the board?",
C_4566b2e6938a4a6a8e714e799d780e71,1,"No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new.",
C_4566b2e6938a4a6a8e714e799d780e71,0,If I picked it up at your location would you accpet 120?,
C_4566b2e6938a4a6a8e714e799d780e71,1,Make it 150 and we got a deal.,
C_4566b2e6938a4a6a8e714e799d780e71,0,"I could do 145, if you can gurantee the painting on the front of the board is not scratched up.",
C_4566b2e6938a4a6a8e714e799d780e71,1,Deal,
C_4566b2e6938a4a6a8e714e799d780e71,0,Great!,
C_af8b847888704a0d91b3ad30393c0907,0,man thats a nice trak,
C_af8b847888704a0d91b3ad30393c0907,1,yes its really nice,
C_af8b847888704a0d91b3ad30393c0907,0,how about you give it to me for 8000,
C_af8b847888704a0d91b3ad30393c0907,1,That is way too little,
C_af8b847888704a0d91b3ad30393c0907,0,i realy dont need it but i can pay you 8200 if you let it go,
C_af8b847888704a0d91b3ad30393c0907,1,I can go down to 14k but I can't knock off 6k,
C_af8b847888704a0d91b3ad30393c0907,0,"oh man i cant afford that, i need to buy food for my pigs and farm and send my child to private school, can you do 13k ?",
C_af8b847888704a0d91b3ad30393c0907,1,I will take 13k,
C_af8b847888704a0d91b3ad30393c0907,0,ok i can pick it up this weekend,
C_af8b847888704a0d91b3ad30393c0907,1,sounds good,
C_5c26a95cef21489bb071772ab5efcf77,0,Hi iam interested in your MicroSD Card for sale,
C_5c26a95cef21489bb071772ab5efcf77,1,Good.  What is your offer?,
C_5c26a95cef21489bb071772ab5efcf77,0,"I would like to offer  you 65.00, I know their worth and that seems of correct value to me.",
C_5c26a95cef21489bb071772ab5efcf77,1,"Well I think there are a lot of opinions about the value, and I think it's good to open a dialog about the value.",
C_5c26a95cef21489bb071772ab5efcf77,0,"This is true, There are larger ones for same price, so I feel my price is fair. I would also pick up the item at your convience.",
C_5c26a95cef21489bb071772ab5efcf77,1,That's interesting.  I've seen ones my size sell for $85 in some places!  Picking up the item is a good offer too!,
C_5c26a95cef21489bb071772ab5efcf77,0,"Really? I have seen them cheaper then that. How about I pick up the item anytime you are free, and I pay 69 for it?",
C_5c26a95cef21489bb071772ab5efcf77,1,That's a pretty good offer.  Is it possible for you to come up to $71?,
C_5c26a95cef21489bb071772ab5efcf77,0,Since I am picking it up I would like to stay at the 69.,
C_5c26a95cef21489bb071772ab5efcf77,1,"Hmm...Okay, let me think about if for a minute.  You will definitely like this SD card.",
C_5c26a95cef21489bb071772ab5efcf77,0,"I am sure I will, it seems great, I also think you will like not having to leave your home or go out of your way. I would love to buy it, I could even meet you in the middle at 70.00.",
C_5c26a95cef21489bb071772ab5efcf77,1,That sounds even better.  I accept your offer and look forward to seeing you.  I'm glad we could come to an agreement!,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Hello,
C_e2781ecd69264b00a4cc25ee96d271c5,0,Hi there. I had a few questions about the phone you are selling.,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Sure,
C_e2781ecd69264b00a4cc25ee96d271c5,0,How old is the phone? I don`t see it stated anywhere.,
C_e2781ecd69264b00a4cc25ee96d271c5,1,2 years old,
C_e2781ecd69264b00a4cc25ee96d271c5,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",
C_e2781ecd69264b00a4cc25ee96d271c5,1,Slightly,
C_e2781ecd69264b00a4cc25ee96d271c5,0,The highest I can offer is around 100 dollars. Is this too low?,
C_e2781ecd69264b00a4cc25ee96d271c5,1,Yes,
