,Turn,Text,True,Pred
0,0,How long have you been using the phone?,5,5
1,0,I've had it for about 9 months,0,0
2,0,I heard that the iphone 6 had a lot of software bugs. When is apple going to fix them?,1,1
3,0,"I don't know anything at all about that. I've never had a problem with this phone, just wanted to upgrade to a 6s",0,0
4,0,"Okay, what about the battery life?",5,5
5,0,It works just like as new. No problem waiting until the end of the day to charge it up.,0,0
6,0,Alright. I am willing to pay $125 for it to buy it now.,4,4
7,0,"I can't go that low. I was looking for $320, but I'd be willing to lower my price to $280",4,4
8,0,I am not going to go that high for an out of date phone. If you went me to pay anymore you will have to throw in something else with the deal. Apple is terrible with supporting older products.,2,2
9,0,"How about this, I'll drop the price to $200. It's worth that much and uh, I can throw in a backup charger.",0,6
10,0,I'll take it with the backup charger for $185.,4,6
11,0,I can't do it.,3,3
12,0,I am not willing to pay anymore. Take it or leave it.,3,3
13,0,You're going to miss out on a great phone for the price. I could go $190 but that's as low as I'll go.,3,3
14,0,Alright. I will take it for $190.,0,0
15,0,deal.,0,0
16,0,I'm interested in your hutch.  Will you take $200?,0,4
17,0,"no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still",3,2
18,0,"$2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon.",1,7
19,0,"it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle",6,6
20,0,I will take it for $300 if you throw in that printer too.,6,6
21,0,"ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer.",4,6
22,0,"Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair>",3,6
23,0,"sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer",3,3
24,0,"$375, printer, hutch and you help loading?",6,6
25,0,"fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it",7,0
26,0,Pleasure doing business with you.  Give your kids my regards.,0,0
27,0,200 is a good price for this item,0,0
28,0,"It is too high for me, I was thinking more around 100",7,7
29,0,i just upgraded it so how about 165,4,2
30,0,how old is the item?,5,5
31,0,i ot it a year ago,0,0
32,0,The price seems too high for  a used one. how about 120?,2,2
33,0,140 and I will bring it to you right now,6,6
34,0,Do you have any speakers to throw in with it?,5,6
35,0,yes i do,0,0
36,0,oktereceiveradpeakerfor140,0,0
37,0,I'm really intersted in the chairs. Are there any scratches?,1,1
38,0,There are a few minor scratches on some of the chairs,0,0
39,0,"How about the cushions, any holes?",1,1
40,0,No.  We reupholstered them after we purchased the chairs last fall,0,0
41,0,Cool. I was hoping you would be willing to let them go for a little below your listed price.,0,4
42,0,"I'm willing to negotiate, but I'm not going to accept an unreasonable offer.  Even with the scratches they're still nice chairs!",2,2
43,0,"I believe you. I want to make sure it's a fair price. You want about 26 per chair, I was hoping to get them for about 18 per chair.",4,4
44,0,Would you be willing to split the difference at 22 per chair?,4,4
45,0,I was hoping to pay less because I don't have a truck so I will need to pay a friend to pick them up.,6,6
46,0,"Well, I could deliver them a little bit further than Hayward, if that helps",6,6
47,0,That acutally would help. Would you be willing to do that for the $22 per chair?,0,4
48,0,Yes,0,0
49,0,"Great, I'm just a little outside of hayward in union city so it's not too far. Would tomorrow be good. I can work around your schedule.",0,0
50,0,"I'm free all day tomorrow, so that would work for me!",0,0
51,0,"Great, thanks. I'm going to input the offer now at $132.",0,0
52,0,Sounds good -- is that going to show up on my screen too?  Based on the instructions it looks like it should,0,5
53,0,"Hi there, how are you today?",0,0
54,0,What are the dimensions?,5,5
55,0,"40 by 60 inches . fairly large, in good condition.",0,0
56,0,Does the chair have rollers?,5,5
57,0,"yes, it does/",0,0
58,0,It's bigger than I had wanted but might be able to make it work. Would you take $30?,0,4
59,0,I would be wiling to do $40 with delivery included.,6,6
60,0,I can pick it up but thanks for offering. Best I could do is $32,6,6
61,0,$35and you have adeal.,3,6
62,0,"okay, $35",0,0
63,0,"Hi, are you interested?",0,0
64,0,Hi. I'm very interested in your add. Can you tell me a bit more about this bed frame? How long ago have you purchased it?,5,5
65,0,"Yes, got it a year ago.",0,0
66,0,What are the dimensions of it?,5,5
67,0,"I don't know the exact dimensions, I know it is a full or twin. It is a really great natural wood solid built frame.",0,0
68,0,Do you still have the mattress that went with it?,5,5
69,0,No I already had sold that off.,0,0
70,0,"Oh I see. I was willing to go a bit higher if that was available. This way I can only go up to about 110 dollars. Really sorry, I'm on a tight budget. Any wiggle room?",7,7
71,0,I could do 125?,0,4
72,0,That's a fair offer. But maybe if I pick it up myself you can go down to 114?,6,6
73,0,alright,0,0
74,0,Hello.,0,0
75,0,"Yes, hi. what is the condition of car?",5,5
76,0,"It's a salvage from a rear end accident, but everything has been fixed.",0,0
77,0,IS AC working allright?,5,5
78,0,"Yes, and it comes with certificates for smog, brakes, and lamps, as well as DMV VIN verification.",0,0
79,0,"It is salvage, so ican not resale it. Do you have papers and title?",1,5
80,0,"Yes, all the paperwork is in order.",0,0
81,0,how much mileage does it give per gallon?,5,5
82,0,"it's about 21 avg (19 city 24 highway) and sorry for the delay, had to check.",0,0
83,0,"I would like to buy it for 12844, what do you think?",4,4
84,0,"I don't think that's doable for me, that's nearly 25% off the list price. I can't go below 14,500.",2,2
85,0,hi,0,0
86,0,hi,0,0
87,0,can you pay the 125,1,4
88,0,No I can't. Would you be willing to go lower?,7,4
89,0,this  is very cool and rare 1970's  i would accept $115,0,2
90,0,what condition is it in?,5,5
91,0,ment condition,0,0
92,0,could you give to me for 100 if I offer to pick it up?,6,6
93,0,"yes that's works for me, what time and when",0,0
94,0,Whatever works for you,0,0
95,0,today t 1:30,0,0
96,0,ok great,0,0
97,0,thanks,0,0
98,0,thank you too,0,0
99,0,Hi,0,0
100,0,Hello! Are you interested in the couches?,0,0
101,0,"Yes I am, just a few questions, is this a non smoking home?",5,5
102,0,"Yes, it is. I bought these brand new and have made sure to keep them in a smoke-free environment.",0,0
103,0,And how long did you have them?,5,5
104,0,I've had them for just a few years. I can assure you completely that they are in great condition.,0,0
105,0,"well The price is s lightly high for used couches, would you come down to $240 if I ALSO PICKED THEM UP?",6,6
106,0,I don't think I can go that low. I can give you both for $300 and I'll deliver them myself for no extra charge. Sound fair?,6,6
107,0,$275??,4,4
108,0,"Actually, that's fine. Again, I'll deliver them to you myself. Don't worry about picking them up.",0,6
109,0,Hello.,0,0
110,0,"Hello, I have just viewed your advertisement for the white BMW Z3",0,0
111,0,"Great, any questions?",0,0
112,0,"Yes, how many miles are on it?",5,5
113,0,15000,0,0
114,0,Have you done maintenance during the 15000 mile period?,1,5
115,0,"yes, it is in great conditon.",0,0
116,0,That's great to hear! Do you have the maintenance records?,5,5
117,0,"Yes , of curse, and I also have a warranty on it  for you , good for 5 more years.",0,0
118,0,A dealer warranty?,5,5
119,0,manufacturer.,0,0
120,0,Nice. What is the least that you would be willing to take on the car?,0,6
121,0,"$4,200.00",4,4
122,0,That price is high for me right now. If I were to come view the car this weekend and offer $2000 cash would you be open to sell the car?,7,6
123,0,I am open to deals btu that is less than half of asking.. you need to come up some.,4,2
124,0,I could possibly do 2250 but that is a strain for me,7,2
125,0,"I really do want to get rid of it, but I think that is just way to low for me.",4,7
126,0,It is a nice car and it would be going towards a good home. You could have it gone by this weekend and it would be off your hands. Would you take 2450?,6,2
127,0,I need at least 3200.,3,4
128,0,"I can pay you in cash, no hassle for you once you accept my offer",6,6
129,0,is yoru offer 3200 or higher?,0,0
130,0,I could possibly come up with $2750 by the weekend and we may be able to figure out what I can do for the difference,4,4
131,0,"I just don't think we are going to agree here, too big a loss of me below 3200 even though I was wanting to get rid of it quickly.",3,2
132,0,What if you got to keep some of the parts? Such as the bumper bra; I really wouldn't need it and it probably cost you a good chunk of money,6,6
133,0,"alright , I KEEP THOSE PARTS AND YOU GET IT FOR 3000",3,0
134,0,Hi! I am very interested in buying this Headphone set!,0,0
135,0,Great.  Are there any questions I can answer for you?,0,0
136,0,What is great about this product compared to the other ones on the market?,5,5
137,0,"This product is new, fits both iPhone and/or Samsung.  It is very attractive and it has it's own carrying hard case for storage.",0,0
138,0,Ok awesome. I would like to purchase the item and I am willing to pick it up. What is the best deal that you can offer me?,6,0
139,0,I am asking $15 for the headphone set.,4,0
140,0,I understand that but I am willing to do all the labor so you do not have to pay for gas or shipping. Would you be willing to go down to 9 dollars?,2,6
141,0,Nine is a little low.  I would go $12.,4,4
142,0,$11 and you have a deal!,4,3
143,0,Okay -- great!  $11 it is.  Thank you.,0,0
144,0,hi,0,0
145,0,hello. Are you interested in the table for sale?,0,0
146,0,"Yes, can you tell me , is your home smoke free?",5,5
147,0,"yes it is. I do , however have pets.",0,0
148,0,"they never peed on it or anything, right?",1,1
149,0,No they have not. There is a small broken corner but you cannot tell when it is against the wall,0,0
150,0,Do you think you would be willing to bring down the price since it is somewhat damaged?,2,2
151,0,"Maybe a little, however It is fairly new so I would like to get close to what i paid for",2,2
152,0,"well a used product can rarely fetch the price paid, I was thinking  $59 and I can come pick it up myself.",6,6
153,0,I would consider $75,4,0
154,0,I feel that is too much since it is damaged already and have to try to repaint and repair it.,2,2
155,0,The paint is very fresh and does not need a new coat. The price I paid last year was $300 so you are getting it for less than 1/3,2,2
156,0,"I need to paint it if there is a chip, either I can do 60 cash and come get it, or I will have to pass.",2,6
157,0,Okay we can do that.,0,0
158,0,"Hello, are you interested in this bike still?",0,0
159,0,Good morning.,0,0
160,0,Good morning!,0,0
161,0,I may be.  What are the cosmetic issues?,1,5
162,0,Well I had this bike for several years and it has been up and down on many trails.  I took great care of it and it has all new hardware.  THe frame just has some wear and tear on it that doesn't hurt any performance issues.,0,0
163,0,"Is there a warranty?  If so, how long?",5,5
164,0,Well I am asking 100 for this bike and it doesn't come with a warranty.,0,0
165,0,Will you deliver the bike to my home?  Assume we live in the same city.,6,5
166,0,I will deliver it.,0,0
167,0,"Any additional parts included?  New tires, brake pads, etc?",6,5
168,0,"No, just waht you see in the picture.",0,0
169,0,How flexible are you with the price.  $100 is pretty high.,4,4
170,0,"Well, If you come pick it up I can drop it down to 90",6,6
171,0,I'll enter my price now.  I'll pay cash and pick up the bike at your convenience today or tomorrow if you accept.  Look forward to meeting you.,6,6
172,0,"Hello, I am interested in the home you have listed.",0,0
173,0,"Great! I realize I forgot to put the price in the advertisement. It's $1,800 per month and has fantastic, private views of a golf course, which you will have access to",0,0
174,0,Are there any utilities included?,5,5
175,0,"Utilities are not included but the home is equipped with central AC and heating! Plus, a private back yard and patio",0,0
176,0,How many cars can fit in the garage? Is it gas or electric or both?,5,5
177,0,"The garage has plenty of storage so I think it fits 2 cars. No gas, only electric.",0,0
178,0,"Okay, is there access to any swimming pools?",5,5
179,0,"No pool, sorry, but you will be close by to the ferry that goes to San Fransisco, plus the house has ceiling fans throughout to keep you cool, along with dual pane windows to save on energy costs",0,0
180,0,"Okay, I was really hoping there was some close access to swimming pools. I am however still very interested in this house. Would you be willing to negotiate on the monthly price considering there are no utilities included and no swimming pool access?",2,2
181,0,"Yes, i am willing to negotiate. What price were you thinking?",0,0
182,0,Would you be willing to do $1500 a month?,4,4
183,0,"Absolutely, Partner, you've got a deal!",0,0
184,0,Great! Thank you!,0,0
185,0,Hello are you intersted in this house?,0,5
186,0,"hi yes I am, how  many square fot",5,0
187,0,It offers 600 sf and if you add in the garage it is 900 sf.,0,6
188,0,"sounds good, what year is the house",5,5
189,0,It was built in 1983 and it is a very well kept house!,0,0
190,0,what the roof's condition ?,5,5
191,0,"Its a little rough, but doable.",0,0
192,0,"ok so lets get down to buisiness, how low can you let it go ?",0,4
193,0,"I can sell it for 1845 a month for a 1 year price, or possibly lower if you are interested in a 2 year lease.",4,6
194,0,"ok I m not  going to lie to you, I want three years but the price has to go down to 1600, is this fair enough",6,4
195,0,Yes,0,0
196,0,Hi there,0,0
197,0,"Hi, how much are you selling the iPhone for?",0,5
198,0,I'm selling it for 350!,4,0
199,0,"That's strange, that isn't the list price. I'll give you $100 for it.",4,2
200,0,It isn't?,0,5
201,0,Perhaps mine is different than yours,0,0
202,0,"Huh that's interesting, I'll sell it for 300? Is that a better price for you? Do you want more info about the phone?",4,5
203,0,What condition is it in? Does it come with any other items than just the phone? How long has it been used for?,5,5
204,0,It looks brand new and in new conditipn,0,0
205,0,I'll give you $125 for it,4,4
206,0,"It also comes with a case and a screen cover. This is a steal and a on iPhone 6, with extended memory of 64 gigs",2,2
207,0,200$?,4,4
208,0,I'll give it for you for 275 and I'll even drive it over to you and I can put warranty on it to make it so if something breaks you can get it fixed for free!,6,6
209,0,"Okay, that's a deal",0,0
210,0,"Hey, nice house you have here, when was it built?",5,5
211,0,"Hey, I do not know what year the house was built",0,0
212,0,"Oh okay, well is the inside clean? No marks on the floors etc?",1,5
213,0,The home has been wonderfully maintained,0,0
214,0,"Is there anything you can throw in, or suggest is special about the house? Our budget is about $2000..",6,7
215,0,"The property is in a great neighborhood, the bathroom and kitchen are upgraded and it's conveniently located.",0,0
216,0,Any schools or transportation nearby? We're going to have kids soon,5,5
217,0,There is a carpool pickup spot nearby and the house is near several parks for the kids,0,0
218,0,"Sounds great, how does 2200 sound?",4,4
219,0,"I'm sorry, but I couldn't go any lower than $3000",4,3
220,0,"Oh okay, that's way above our budget. Thanks for showing me the house today.",7,0
221,0,Hello.,0,0
222,0,Hello to you friend,0,0
223,0,"Yes, I'm interested in this dresser from your ad?",0,0
224,0,"Well its a great set, the night stand is included with the price. Now I do need this picked up by Sat. will that work for you?",6,0
225,0,"Well, the ad says it's missing a handle, is there anything else wrong with it?",1,1
226,0,"It's true the handle is unattached, but as it also states the handle is with the dresser. There are a small number of beauty marks from regular use, but other the the handle, no noticeable damage.",0,0
227,0,"Well, I'm interested, but considering the need to repair the handle, I'd like to pay $75.",2,4
228,0,"That is less than I paid for the night stand alone, that is unacceptable. If the handle is a concern, I can however lower the total price to 175.",2,6
229,0,"Well, I'd be willing to come pick it up, but I really couldn't go more than $110.",6,6
230,0,"150 is my lowest price, or I can find another buyer",3,3
231,0,"Well, okay, 150 it is.",0,0
232,0,agreed,0,0
233,0,Can you finish telling me how to check if the phone is genuine?,5,5
