,Turn,Speaker,Text,True,Pred
0,0,1,I'm doing well thank you,Not-a-strategy,Counter Argumentation-Contesting
1,1,1,That is absolutely terrible.,Not-a-strategy,Counter Argumentation-Contesting
2,1,1,Are there any good charities that are helping on this issue?,Hesitance-Hesitance,Counter Argumentation-Contesting
3,2,1,How can someone help?,Not-a-strategy,Counter Argumentation-Contesting
4,2,1,I would be willing to donate my time and perhaps some money.,Not-a-strategy,Counter Argumentation-Contesting
5,3,1,How exactly does the money help the cause?,Hesitance-Hesitance,Counter Argumentation-Contesting
6,3,1,What's it spent on?,Hesitance-Hesitance,Counter Argumentation-Contesting
7,4,1,I'd be willing to donate a dollar or two,Not-a-strategy,Counter Argumentation-Contesting
8,5,1,Perfect.,Not-a-strategy,Counter Argumentation-Contesting
9,5,1,How do I donate then?,Hesitance-Hesitance,Counter Argumentation-Contesting
10,6,1,You need to type faster.,Not-a-strategy,Counter Argumentation-Contesting
11,6,1,Our HITs are going to expire on us.,Not-a-strategy,Counter Argumentation-Contesting
12,6,1,"I'd rather send the money on my accord, rather than have it deducted.",Not-a-strategy,Counter Argumentation-Contesting
13,6,1,Where can I go to send it?,Hesitance-Hesitance,Counter Argumentation-Contesting
14,7,1,Ok i'll check it out.,Not-a-strategy,Counter Argumentation-Contesting
15,7,1,thank you.,Not-a-strategy,Counter Argumentation-Contesting
16,8,1,I'll donate right away.,Not-a-strategy,Counter Argumentation-Contesting
17,8,1,thank you.,Not-a-strategy,Counter Argumentation-Contesting
18,8,1,Are you going to donate too?,Counter Argumentation-Contesting,Counter Argumentation-Contesting
19,9,1,Awesome.,Not-a-strategy,Counter Argumentation-Contesting
20,9,1,Have a wonderful day.,Not-a-strategy,Counter Argumentation-Contesting
21,9,1,I hope those kids get the money they need.,Not-a-strategy,Counter Argumentation-Contesting
22,0,1,i usually do donate to charities,Self Assertion-Empowerment,Counter Argumentation-Contesting
23,1,1,I would like to know more about this charity,Hesitance-Hesitance,Counter Argumentation-Contesting
24,2,1,I'm surprised i've never heard about it! how do i know if it's legit and if money really go to help those kids,Information Inquiry-Contesting,Counter Argumentation-Contesting
25,3,1,i understand but i just don't feel comfortable donating yet.,Information Inquiry-Contesting,Counter Argumentation-Contesting
26,4,1,I'm currently receiving food stamps so i don't buy candy and unnecessary stuff.,Counter Argumentation-Contesting,Counter Argumentation-Contesting
27,4,1,i'm super broke right now,Personal Choice-Empowerment,Counter Argumentation-Contesting
28,5,1,"yes, i guess i can.",Not-a-strategy,Counter Argumentation-Contesting
29,6,1,it does.,Not-a-strategy,Counter Argumentation-Contesting
30,6,1,i really love helping people,Not-a-strategy,Counter Argumentation-Contesting
31,7,1,"Yes, i agree",Not-a-strategy,Counter Argumentation-Contesting
32,8,1,thank you!,Not-a-strategy,Counter Argumentation-Contesting
33,8,1,You too!,Not-a-strategy,Counter Argumentation-Contesting
34,9,1,"I'm not sure yet, maybe 5 cents",Not-a-strategy,Counter Argumentation-Contesting
35,0,1,"Hey, I am doing well",Not-a-strategy,Counter Argumentation-Contesting
36,1,1,That is terrible.,Not-a-strategy,Counter Argumentation-Contesting
37,1,1,Are there any charities that work in that area?,Hesitance-Hesitance,Counter Argumentation-Contesting
38,2,1,It hurts my heart when I see those children's charity commercials.,Not-a-strategy,Counter Argumentation-Contesting
39,3,1,30 dollars a month can change a child's life,Not-a-strategy,Counter Argumentation-Contesting
40,4,1,I know!,Not-a-strategy,Counter Argumentation-Contesting
41,4,1,What a worthwhile cause!,Not-a-strategy,Counter Argumentation-Contesting
42,5,1,"Yeah, I have used Gospel for Asia in the past",Self Assertion-Empowerment,Counter Argumentation-Contesting
43,6,1,It feels good to make a difference if only for one child,Not-a-strategy,Counter Argumentation-Contesting
44,7,1,That is freat!!,Not-a-strategy,Counter Argumentation-Contesting
45,7,1,Good for you!,Not-a-strategy,Counter Argumentation-Contesting
46,8,1,I may donate something!!,Not-a-strategy,Counter Argumentation-Contesting
47,9,1,I am not sure,Source Derogation-Contesting,Counter Argumentation-Contesting
48,0,1,"Sure, as long as you can help me out as well... you see, I have a child that is overseas, in a warzone.",Personal Choice-Empowerment,Counter Argumentation-Contesting
49,0,1,they are hungry and injured and also short,Personal Choice-Empowerment,Counter Argumentation-Contesting
50,1,1,"yeah, i mean, i guess",Not-a-strategy,Counter Argumentation-Contesting
51,2,1,what is save the children,Hesitance-Hesitance,Counter Argumentation-Contesting
52,3,1,do they help lots of kids,Hesitance-Hesitance,Counter Argumentation-Contesting
53,4,1,do they help kids in africa too,Hesitance-Hesitance,Counter Argumentation-Contesting
54,5,1,do they provide medical help too though?,Hesitance-Hesitance,Counter Argumentation-Contesting
55,6,1,"I see, and it's called Save the Children",Not-a-strategy,Counter Argumentation-Contesting
56,7,1,Do they help adults?,Hesitance-Hesitance,Counter Argumentation-Contesting
57,8,1,"I see, and do they provide medical help as well?",Hesitance-Hesitance,Counter Argumentation-Contesting
58,9,1,"If you can promise me that none of the money will go to help ANY Muslim child, then I will donate two dollars from my payment",Information Inquiry-Contesting,Counter Argumentation-Contesting
59,10,1,"then unfortunately, i cannot give any money",Self Pity-Empowement,Counter Argumentation-Contesting
60,0,1,no i haven't,Not-a-strategy,Counter Argumentation-Contesting
61,1,1,"Sure, I'd love to hear about it",Not-a-strategy,Counter Argumentation-Contesting
62,2,1,I have never been to the site.,Not-a-strategy,Counter Argumentation-Contesting
63,2,1,Could you provide me with the link,Hesitance-Hesitance,Counter Argumentation-Contesting
64,3,1,Not today but I'll definitely save the website for the future.,Source Derogation-Contesting,Counter Argumentation-Contesting
65,3,1,What type of help do you provide to those poor families?,Hesitance-Hesitance,Counter Argumentation-Contesting
66,4,1,I appreciate you informing about this but i'll be donsting at a later time,Source Derogation-Contesting,Counter Argumentation-Contesting
67,5,1,"Could you explain to me what the 25$ will go to exactly, is it for building houses, farms, shelters,...",Information Inquiry-Contesting,Counter Argumentation-Contesting
68,6,1,You definitely can...but not today.,Source Derogation-Contesting,Counter Argumentation-Contesting
69,6,1,Sorry,Self Pity-Empowement,Counter Argumentation-Contesting
70,7,1,"oh sure, i didnt know i could send that amount.",Not-a-strategy,Counter Argumentation-Contesting
71,7,1,I'll give 0.1 today,Not-a-strategy,Counter Argumentation-Contesting
72,8,1,"Yes, I just want to make sure that you read properly that I'm giving 0.1 not 0.01.",Not-a-strategy,Counter Argumentation-Contesting
73,8,1,Thank you,Not-a-strategy,Counter Argumentation-Contesting
74,9,1,"great, yeah i think we can",Not-a-strategy,Counter Argumentation-Contesting
75,0,1,"nice to meet you, do you know any good children's charities",Not-a-strategy,Counter Argumentation-Contesting
76,1,1,i have not tell me about them,Hesitance-Hesitance,Counter Argumentation-Contesting
77,2,1,interesting.,Not-a-strategy,Counter Argumentation-Contesting
78,2,1,how do you help them.,Counter Argumentation-Contesting,Counter Argumentation-Contesting
79,3,1,not really.,Not-a-strategy,Counter Argumentation-Contesting
80,3,1,give me some reasons i should donate,Hesitance-Hesitance,Counter Argumentation-Contesting
81,4,1,is this a religous charity?,Hesitance-Hesitance,Counter Argumentation-Contesting
82,5,1,would donating one penny help,Not-a-strategy,Counter Argumentation-Contesting
83,6,1,are you going to donate too?,Counter Argumentation-Contesting,Counter Argumentation-Contesting
84,7,1,how much do you think i should donate,Hesitance-Hesitance,Counter Argumentation-Contesting
85,8,1,i think i will donate one cent.,Not-a-strategy,Counter Argumentation-Contesting
86,8,1,how do i make the donation?,Hesitance-Hesitance,Counter Argumentation-Contesting
87,9,1,ok,Not-a-strategy,Counter Argumentation-Contesting
88,0,1,"No, I am not very familiar with that charity.",Hesitance-Hesitance,Counter Argumentation-Contesting
89,1,1,It sounds like a meaningful charity.,Not-a-strategy,Counter Argumentation-Contesting
90,2,1,Is it world wide.,Hesitance-Hesitance,Counter Argumentation-Contesting
91,3,1,"Wow, that is intense.",Not-a-strategy,Counter Argumentation-Contesting
92,4,1,"That is incredible, glad to here this charity exists.",Not-a-strategy,Counter Argumentation-Contesting
93,5,1,I don't eat candy.,Counter Argumentation-Contesting,Counter Argumentation-Contesting
94,6,1,I am on a very tight budget.,Personal Choice-Empowerment,Counter Argumentation-Contesting
95,7,1,I can donate .10 of my mturk earnings.,Not-a-strategy,Counter Argumentation-Contesting
96,8,1,That sounds great!,Not-a-strategy,Counter Argumentation-Contesting
97,9,1,I am so glad to hear that!,Not-a-strategy,Counter Argumentation-Contesting
98,0,1,"I spend about 5 dollars a day, you?",Not-a-strategy,Counter Argumentation-Contesting
99,1,1,I think it would in many places,Not-a-strategy,Counter Argumentation-Contesting
100,2,1,No i am not can you explain?,Hesitance-Hesitance,Counter Argumentation-Contesting
101,3,1,Wow thats great.,Not-a-strategy,Counter Argumentation-Contesting
102,3,1,How can I help?,Not-a-strategy,Counter Argumentation-Contesting
103,4,1,Thank you.,Not-a-strategy,Counter Argumentation-Contesting
104,4,1,How do i donate?,Not-a-strategy,Counter Argumentation-Contesting
105,5,1,Ok i will donate some,Not-a-strategy,Counter Argumentation-Contesting
106,6,1,Tha k you so much for the infkrmation,Not-a-strategy,Counter Argumentation-Contesting
107,7,1,I will donate 10 cents,Not-a-strategy,Counter Argumentation-Contesting
108,8,1,That is all i can afford,Not-a-strategy,Counter Argumentation-Contesting
109,9,1,Tha k you for my awareness,Not-a-strategy,Counter Argumentation-Contesting
110,0,1,What kind of children does it help?,Hesitance-Hesitance,Counter Argumentation-Contesting
111,1,1,What is the name of the organization?,Not-a-strategy,Counter Argumentation-Contesting
112,2,1,How do they help children?,Hesitance-Hesitance,Counter Argumentation-Contesting
113,2,1,Food?,Hesitance-Hesitance,Counter Argumentation-Contesting
114,2,1,Clothing?,Hesitance-Hesitance,Counter Argumentation-Contesting
115,2,1,Shelter?,Hesitance-Hesitance,Counter Argumentation-Contesting
116,2,1,Education?,Hesitance-Hesitance,Counter Argumentation-Contesting
117,3,1,Is this charity local?,Hesitance-Hesitance,Counter Argumentation-Contesting
118,3,1,global?,Hesitance-Hesitance,Counter Argumentation-Contesting
119,3,1,Just in my country (United States)?,Hesitance-Hesitance,Counter Argumentation-Contesting
120,4,1,"I think it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn.",Not-a-strategy,Counter Argumentation-Contesting
121,4,1,How much should we donate?,Not-a-strategy,Counter Argumentation-Contesting
122,5,1,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",Not-a-strategy,Counter Argumentation-Contesting
123,6,1,That is appealing.,Not-a-strategy,Counter Argumentation-Contesting
124,6,1,Does the charity send updates on how the child is doing if I sponsor?,Hesitance-Hesitance,Counter Argumentation-Contesting
125,7,1,How does the sponsorship work?,Hesitance-Hesitance,Counter Argumentation-Contesting
126,7,1,Do I make a monthly donation?,Hesitance-Hesitance,Counter Argumentation-Contesting
127,7,1,I can't afford much.,Personal Choice-Empowerment,Counter Argumentation-Contesting
128,7,1,What is the minimum dollar amount?,Not-a-strategy,Counter Argumentation-Contesting
129,8,1,What do you think?,Not-a-strategy,Counter Argumentation-Contesting
130,9,1,OK. Glad that we came to an agreement.,Not-a-strategy,Counter Argumentation-Contesting
131,9,1,How do we end this task?,Not-a-strategy,Counter Argumentation-Contesting
132,0,1,"doing fine, what about you",Not-a-strategy,Counter Argumentation-Contesting
133,1,1,go ahead :),Not-a-strategy,Counter Argumentation-Contesting
134,1,1,i'm listening,Not-a-strategy,Counter Argumentation-Contesting
135,2,1,I don't think so.,Not-a-strategy,Counter Argumentation-Contesting
136,3,1,such an important job!,Not-a-strategy,Counter Argumentation-Contesting
137,3,1,Tell me more,Not-a-strategy,Counter Argumentation-Contesting
138,4,1,so sad.,Not-a-strategy,Counter Argumentation-Contesting
139,4,1,How can i help?,Not-a-strategy,Counter Argumentation-Contesting
140,5,1,how do i know money will go to children and it's not a scam?,Information Inquiry-Contesting,Counter Argumentation-Contesting
141,6,1,"great, let me check it out",Not-a-strategy,Counter Argumentation-Contesting
142,7,1,so i like that 86% is going to the cause.,Not-a-strategy,Counter Argumentation-Contesting
143,8,1,I probably will.,Not-a-strategy,Counter Argumentation-Contesting
144,8,1,Is there a minimum i can donate?,Not-a-strategy,Counter Argumentation-Contesting
145,9,1,"hmmm, let me think about it",Source Derogation-Contesting,Counter Argumentation-Contesting
146,0,1,"I'm good, and you?",Not-a-strategy,Counter Argumentation-Contesting
147,1,1,How much money are you looking for?,Not-a-strategy,Counter Argumentation-Contesting
148,2,1,How much of my donation goes to the kids,Hesitance-Hesitance,Counter Argumentation-Contesting
149,3,1,What kind of supplies does my donation provide,Hesitance-Hesitance,Counter Argumentation-Contesting
150,4,1,So if this just for children in America?,Hesitance-Hesitance,Counter Argumentation-Contesting
151,5,1,"Id like to make a donation, how do I do that",Not-a-strategy,Counter Argumentation-Contesting
152,6,1,What if i'd like to donate more,Not-a-strategy,Counter Argumentation-Contesting
153,7,1,I think I'd like to donate 0.05,Not-a-strategy,Counter Argumentation-Contesting
154,8,1,"You're welcome, is there anything else that I can do to help",Not-a-strategy,Counter Argumentation-Contesting
155,9,1,Great.,Not-a-strategy,Counter Argumentation-Contesting
156,9,1,Thanks for the oppertunity.,Not-a-strategy,Counter Argumentation-Contesting
